"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","KO","Description"
"NVE10012",2630.82618221442,-0.319811146669426,0.103646671143644,-3.08559014139683,0.00203148636295509,0.0456213139545344,NA,NA
"NVE10037",70.1353446144469,0.675385742425647,0.173606443794356,3.89032646291441,0.000100109448523267,0.00490703083281336,"K05673","ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4"
"NVE10052",929.640767607992,0.401875280431008,0.127435867059104,3.15354922994028,0.00161298020164597,0.0392820894395958,"K06642","PRKDC; DNA-dependent protein kinase catalytic subunit [EC:2.7.11.1]"
"NVE10083",992.629345346641,-0.245335249322159,0.0778947719129775,-3.14957272865812,0.00163509404627495,0.0394823619402095,"K12193","VPS24; charged multivesicular body protein 3"
"NVE10139",3808.7765768988,0.692595724769141,0.190922631547068,3.62762507072608,0.000286040224124687,0.0112255272966645,NA,NA
"NVE10188",352.910435748726,0.783208648135602,0.211792092597142,3.69800703383849,0.000217298869216687,0.0091601601711958,NA,NA
"NVE10195",64.3875549102363,-0.695809014111612,0.175635804153091,-3.96165814519866,7.44310574881605e-05,0.00390753232412119,"K09656","B4GALNT3; beta-1,4-N-acetylgalactosaminyltransferase 3 [EC:2.4.1.244]"
"NVE10197",416.817670963497,0.554154297227982,0.119733622634428,4.62822626623379,3.6881093870202e-06,0.000307038964324439,"K17398","DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]"
"NVE10213",292.486223588434,0.447237633998072,0.0866482509607038,5.16153100656239,2.4493831006849e-07,2.91828596133697e-05,NA,NA
"NVE10242",313.548162760656,0.36938746555564,0.120797216239841,3.05791372561291,0.00222883734884436,0.0490845541957026,NA,NA
"NVE10303",75.6006180570655,0.55351335158226,0.166109817296391,3.33221335494351,0.000861581760529189,0.0252316432746079,NA,NA
"NVE10324",2812.62383388908,-0.70561732648262,0.201709544134134,-3.49818512312633,0.000468435861422832,0.016257203010934,NA,NA
